,PMT Lung fibroblasts Dex 2021,PMT Lung fibroblasts Dex 2021,PMT Lung fibroblasts Dex 2021
52,0.774635466887096,0.0273884074674034,3
52.25,0.754143843883769,0.0280708379834983,3
52.5,0.754111068282674,0.00817511297713543,3
52.75,0.748593487230582,0.0186215436617024,3
53,0.740464921826175,0.0211960825962454,3
53.25,0.727926470223952,0.0183793150838561,3
53.5,0.734934680985419,0.0200579099346682,3
53.75,0.728809216048297,0.0263236803953767,3
54,0.720002614636913,0.0240337380226118,3
54.25,0.709708991488422,0.0223870709820635,3
54.5,0.70780488875402,0.0279551003228472,3
54.75,0.692356768584853,0.0165425509836354,3
55,0.697973447084424,0.0297642377943199,3
55.25,0.693516522013175,0.0180912409256187,3
55.5,0.68501519197297,0.0303626196289702,3
55.75,0.690083849206004,0.0310859115396674,3
56,0.688071959604409,0.0315872788863094,3
56.25,0.678397317478215,0.0246485666797596,3
56.5,0.680383808464332,0.0478916464182951,3
56.75,0.676263116882399,0.031477060809098,3
57,0.670628362251308,0.047456279490006,3
57.25,0.663358971742714,0.0382848330133295,3
57.5,0.66717085087866,0.0403477427985427,3
57.75,0.654062203605626,0.0420158932539263,3
58,0.650737494284156,0.0430299570741229,3
58.25,0.640767051742943,0.0363767258234375,3
58.5,0.645931336689264,0.0478072049982231,3
58.75,0.644441629043907,0.0360161903408332,3
59,0.636901487252368,0.043789721389894,3
59.25,0.638982255572319,0.0537011774081109,3
59.5,0.630127956559543,0.0396219810836522,3
59.75,0.628082394084797,0.0288520500950882,3
60,0.627381315528168,0.0411572590052685,3
60.25,0.629878796875263,0.0444425886743863,3
60.5,0.618823693204724,0.0403834660647085,3
60.75,0.622079263360246,0.0350743789351451,3
61,0.617344575583095,0.0385713468474073,3
61.25,0.618595740350493,0.0335628607018887,3
61.5,0.620952214827032,0.0323943574805806,3
61.75,0.621695112593485,0.0413500105016578,3
62,0.621910557480705,0.0349352855792654,3
62.25,0.622303895504115,0.0424285789269901,3
62.5,0.620264631819019,0.0417981129053289,3
62.75,0.615181737094336,0.0365048928687266,3
63,0.624855895025854,0.0385380880257983,3
63.25,0.629199356203547,0.037272823196129,3
63.5,0.625926277418237,0.0449359018909943,3
63.75,0.62659279661615,0.0385807094947204,3
64,0.630785092013075,0.0407891186756869,3
64.25,0.630677573029211,0.0324490590869389,3
64.5,0.638917606656974,0.0297770329636474,3
64.75,0.633323513947264,0.0401247309609499,3
65,0.632392575089761,0.038591243055043,3
65.25,0.641030836163627,0.035955154482487,3
65.5,0.646986882621702,0.0296197391489967,3
65.75,0.648057736796028,0.030823448013229,3
66,0.645303864901441,0.029150137302424,3
66.25,0.646713020850809,0.0449648967134199,3
66.5,0.663133009873624,0.0357915948284329,3
66.75,0.666201596083801,0.0443138834700948,3
67,0.65240577783735,0.030272532380583,3
67.25,0.661745090542817,0.0332369317418859,3
67.5,0.66164847927609,0.0365839176724667,3
67.75,0.665330420914316,0.039000991215336,3
68,0.664707508354228,0.0286684885270167,3
68.25,0.666940523721597,0.0312058788691828,3
68.5,0.669149661117977,0.0337179696773255,3
68.75,0.668404127576497,0.0239344941359359,3
69,0.675631807889946,0.0344738839256919,3
69.25,0.677958542247107,0.0314815022849036,3
69.5,0.677029385990329,0.0303867105232409,3
69.75,0.67635177528293,0.0335727019029678,3
70,0.680796187263751,0.035858581032289,3
70.25,0.685954784753727,0.0361674181274128,3
70.5,0.6816656825495,0.0242057353308859,3
70.75,0.680078581340812,0.0377229085285707,3
71,0.6789055035829,0.030113768522026,3
71.25,0.680308732279559,0.0359089737739637,3
71.5,0.678582018446626,0.0297926672696539,3
71.75,0.688730117799674,0.0351427934473255,3
72,0.687836475767878,0.0260337745095446,3
72.25,0.684857963709744,0.0365314003553201,3
72.5,0.691024627587186,0.0369942435794615,3
72.75,0.687263563558769,0.0389645808318095,3
73,0.683767836874984,0.0362428097850634,3
73.25,0.684607870687591,0.0375296307307591,3
73.5,0.677407678134753,0.034662987823395,3
73.75,0.678196356866222,0.0322088525076177,3
74,0.677947291918274,0.0403246550320427,3
74.25,0.672731653989437,0.0310566723316779,3
74.5,0.66989209310998,0.0352462612595727,3
74.75,0.667357873880841,0.035346948813649,3
75,0.670180419038413,0.0327291631753506,3
75.25,0.66561245778372,0.034776965475762,3
75.5,0.656310054627324,0.0259729821496166,3
75.75,0.657318488092218,0.0315824936327883,3
76,0.665876602480381,0.0446775992530524,3
76.25,0.654960755036487,0.0332170921130561,3
76.5,0.651025014541863,0.0438199884152977,3
76.75,0.6558377433871,0.0429442656624685,3
77,0.654480745916641,0.0478989234558298,3
77.25,0.643997684607165,0.0438117265791624,3
77.5,0.641411968508269,0.0411810677958711,3
77.75,0.64430042481526,0.0435544162316959,3
78,0.635626712891498,0.039935698257148,3
78.25,0.629796056916204,0.0452563893387456,3
78.5,0.630763395583414,0.0505955210414626,3
78.75,0.625883602169886,0.0527272287548215,3
79,0.626622738671761,0.0472758328947266,3
79.25,0.617837448028458,0.0436373547199323,3
79.5,0.621785463714907,0.0535258111366325,3
79.75,0.610488344875999,0.0494024638218589,3
80,0.617908501450194,0.0366379703538515,3
80.25,0.61315745523566,0.0509818562446774,3
80.5,0.60765282099482,0.0544741671536628,3
80.75,0.597872488495066,0.0344999604447566,3
81,0.59987326959101,0.0513538025376803,3
81.25,0.599719993785778,0.0478159658828415,3
81.5,0.595311348678043,0.0509030481893302,3
81.75,0.593525620051942,0.0469096440645032,3
82,0.596988526213368,0.047471667443569,3
82.25,0.592975736615342,0.0467802505334832,3
82.5,0.595605619122889,0.0537807635796506,3
82.75,0.589728747362598,0.0530721583552067,3
83,0.592674533318672,0.0516834572042981,3
83.25,0.594760049354255,0.0650630234252162,3
83.5,0.588085348052398,0.0563624414055045,3
83.75,0.59083994833099,0.0706307668962207,3
84,0.583482269065807,0.0535701323047965,3
84.25,0.586234546835319,0.0518898347388453,3
84.5,0.578124974653189,0.0522779858029694,3
84.75,0.579362575602165,0.053693824479939,3
85,0.584907343732396,0.0535262254698626,3
85.25,0.577777340172429,0.0570746497757839,3
85.5,0.577708605621123,0.0611535927460376,3
85.75,0.581651386908369,0.0618552193705959,3
86,0.574870631064157,0.0563743728034129,3
86.25,0.588014351317993,0.0557682492972305,3
86.5,0.573417643109805,0.0502198642255263,3
86.75,0.575539971383689,0.0548300634021576,3
87,0.581424126136186,0.0553574619145186,3
87.25,0.578923305715996,0.0559012803369018,3
87.5,0.582000160309159,0.0536443036889148,3
87.75,0.580824595868335,0.0594282432126207,3
88,0.577736017942462,0.0527350000910828,3
88.25,0.575593270863145,0.0614501301677959,3
88.5,0.574294931336024,0.0553187985849547,3
88.75,0.579317340577411,0.0582001952501047,3
89,0.582775028255078,0.0656869835372714,3
89.25,0.574595746054463,0.0569615001529376,3
89.5,0.582879336608438,0.0643210280951066,3
89.75,0.582334472276212,0.058696413702823,3
90,0.586461010848883,0.0603170051991492,3
90.25,0.582623930698928,0.0676799147276148,3
90.5,0.59186070971348,0.0638701603060271,3
90.75,0.582481116418267,0.05884377949216,3
91,0.584066006812012,0.0633540303731648,3
91.25,0.585123809668131,0.057999303354669,3
91.5,0.584697757584873,0.0697744933599198,3
91.75,0.590884997617183,0.0815144928394321,3
92,0.585570485389989,0.0655874277812027,3
92.25,0.587412040371856,0.0755370463358398,3
92.5,0.589473503030701,0.0638977258651253,3
92.75,0.588678381681845,0.06612597971921,3
93,0.590660687001622,0.0719761121759975,3
93.25,0.591702744189689,0.0714058628570263,3
93.5,0.578847524085885,0.0559146477273038,3
93.75,0.584590335602591,0.0752591965313812,3
94,0.588349263239874,0.069813268659833,3
94.25,0.570505308489365,0.0510208012500374,3
94.5,0.573430757943269,0.0584151962415952,3
94.75,0.588159870926363,0.0711001403971478,3
95,0.576694741024827,0.0694950497375912,3
95.25,0.583491323199863,0.0730325360260642,3
95.5,0.588399495380532,0.0753735975218724,3
95.75,0.574872621660689,0.067633818500588,3
